subject,Testing Time Frame,num students common,Start Year,Start Year Grade,Start Year RIT,End Year,End Year Grade,End Year RIT,Observed Growth,Projected Growth,Difference,Percent Meeting Projection,Cohort
Math,Fall,340,15-16,6,231.4,16-17,7,238.1,6.7,7.8,-1.1,52,CO2022
Math,Fall,318,15-16,7,237,16-17,8,242,5,6.5,-1.5,50,CO2021
Math,Fall,294,15-16,8,243.1,16-17,9,245.4,2.4,5.3,-2.9,33,CO2020
Math,Fall,190,15-16,9,239.1,16-17,10,241,1.9,2.8,-0.9,49,CO2019
Math,Fall,30,15-16,10,215.8,16-17,11,220.9,5.1,1.6,3.5,53,CO2018
Math,Fall,20,15-16,11,219.4,16-17,12,222.1,2.8,NA,NA,NA,CO2017
Reading,Fall,342,15-16,3,198.5,16-17,4,208.7,10.2,10.2,0,58,CO2025
Reading,Fall,335,15-16,4,208.1,16-17,5,216.4,8.2,7.7,0.5,61,CO2024
Reading,Fall,329,15-16,5,216.6,16-17,6,221.9,5.3,5.3,0,55,CO2023
Reading,Fall,340,15-16,6,221.3,16-17,7,225,3.8,4.8,-1,53,CO2022
Reading,Fall,318,15-16,7,225.3,16-17,8,228.3,2.9,4,-1.1,54,CO2021
Reading,Fall,305,15-16,8,229.4,16-17,9,233.2,3.8,3.6,0.2,58,CO2020
Reading,Fall,300,15-16,9,232.1,16-17,10,235.4,3.4,2.5,0.9,58,CO2019
Reading,Fall,11,15-16,10,202.5,16-17,11,203.8,1.4,0.6,0.8,36,CO2018
Reading,Fall,23,15-16,11,211.3,16-17,12,213.8,2.5,NA,NA,NA,CO2017
Math,Fall,342,14-15,3,200.4,15-16,4,213,12.6,12.1,0.5,59,CO2024
Math,Fall,336,14-15,4,212.2,15-16,5,224.8,12.6,11,1.6,67,CO2023
Math,Fall,329,14-15,5,224.2,15-16,6,230.2,6,7.3,-1.3,53,CO2022
Math,Fall,340,14-15,6,231.4,15-16,7,238.1,6.7,7.8,-1.1,52,CO2021
Math,Fall,318,14-15,7,237,15-16,8,242,5,6.5,-1.5,50,CO2020
Math,Fall,294,14-15,8,243.1,15-16,9,245.4,2.4,5.3,-2.9,33,CO2019
Math,Fall,190,14-15,9,239.1,15-16,10,241,1.9,2.8,-0.9,49,CO2018
Math,Fall,30,14-15,10,215.8,15-16,11,220.9,5.1,1.6,3.5,53,CO2017
Math,Fall,20,14-15,11,221.1,15-16,12,222.1,2.8,NA,NA,NA,CO2016
Reading,Fall,342,14-15,3,198.5,15-16,4,208.7,10.2,10.2,0,58,CO2024
Reading,Fall,335,14-15,4,208.1,15-16,5,216.4,8.2,7.7,0.5,61,CO2023
Reading,Fall,329,14-15,5,216.6,15-16,6,221.9,5.3,5.3,0,55,CO2022
Reading,Fall,340,14-15,6,221.3,15-16,7,225,3.8,4.8,-1,53,CO2021
Reading,Fall,318,14-15,7,225.3,15-16,8,228.3,2.9,4,-1.1,56,CO2020
Reading,Fall,305,14-15,8,229.4,15-16,9,233.2,3.8,3.6,0.2,58,CO2019
Reading,Fall,300,14-15,9,232.1,15-16,10,235.4,3.4,2.5,0.9,58,CO2018
Reading,Fall,11,14-15,10,202.5,15-16,11,203.8,1.4,0.6,0.8,36,CO2017
Reading,Fall,23,14-15,11,211.3,15-16,12,213.8,2.5,NA,NA,NA,CO2016
Math,Fall,293,13-14,3,198.6,14-15,4,214,15.5,11.9,3.6,76,CO2023
Math,Fall,311,13-14,4,213.2,14-15,5,225.2,12,10.9,1.1,64,CO2022
Math,Fall,283,13-14,5,223,14-15,6,230.6,7.5,7,0.5,62,CO2021
Math,Fall,306,13-14,6,230.3,14-15,7,238.4,8.1,7.6,0.5,57,CO2020
Math,Fall,318,13-14,7,237,14-15,8,242,4.9,6.4,-1.5,45,CO2019
Math,Fall,301,13-14,8,240.4,14-15,9,243.7,3.3,5,-1.7,42,CO2018
Math,Fall,171,13-14,9,237.7,14-15,10,239.3,1.6,2.7,-1.1,52,CO2017
Math,Fall,39,13-14,10,233.8,14-15,11,235.7,1.9,2.1,-0.2,56,CO2016
Math,Fall,9,13-14,11,NA,14-15,12,NA,NA,NA,NA,NA,CO2015
Reading,Fall,294,13-14,3,198.1,14-15,4,207.9,9.8,10,-0.2,57,CO2023
Reading,Fall,311,13-14,4,207.3,14-15,5,216.2,8.9,7.5,1.4,64,CO2022
Reading,Fall,283,13-14,5,214.5,14-15,6,220.4,5.9,5.3,0.6,59,CO2021
Reading,Fall,306,13-14,6,219.9,14-15,7,224.6,4.7,4.7,0,58,CO2020
Reading,Fall,319,13-14,7,223.7,14-15,8,228.2,4.5,4,0.5,58,CO2019
Reading,Fall,318,13-14,8,229,14-15,9,231.4,2.3,3.5,-1.2,53,CO2018
Reading,Fall,270,13-14,9,230.3,14-15,10,232.9,2.5,2.3,0.2,59,CO2017
Reading,Fall,19,13-14,10,210.1,14-15,11,216.4,6.3,0.7,5.6,68,CO2016
Reading,Fall,13,13-14,11,208.3,14-15,12,215.5,7.2,NA,NA,NA,CO2015
Math,Fall,287,12-13,3,198.2,13-14,4,213.2,15,11.9,3.1,73,CO2022
Math,Fall,280,12-13,4,211.2,13-14,5,223.3,12.1,10.8,1.3,65,CO2021
Math,Fall,303,12-13,5,221.7,13-14,6,230.2,8.5,6.9,1.6,66,CO2020
Math,Fall,315,12-13,6,229.4,13-14,7,237,7.6,7.5,0.1,59,CO2019
Math,Fall,328,12-13,7,236.9,13-14,8,241.9,5,6.4,-1.4,47,CO2018
Math,Fall,250,12-13,8,239.4,13-14,9,243.5,4.1,4.9,-0.8,48,CO2017
Math,Fall,169,12-13,9,236.9,13-14,10,239.2,2.3,2.6,-0.3,58,CO2016
Math,Fall,43,12-13,10,232.1,13-14,11,234.3,2.2,2.1,0.1,58,CO2015
Math,Fall,11,12-13,11,215.4,13-14,12,216.6,1.3,NA,NA,NA,CO2014
Reading,Fall,288,12-13,3,197.3,13-14,4,207.2,9.9,10,-0.1,58,CO2022
Reading,Fall,271,12-13,4,206.8,13-14,5,214.3,7.5,7.5,0,61,CO2021
Reading,Fall,303,12-13,5,212.8,13-14,6,219.3,6.5,5.3,1.2,64,CO2020
Reading,Fall,315,12-13,6,219.5,13-14,7,223.7,4.2,4.7,-0.5,56,CO2019
Reading,Fall,329,12-13,7,224.7,13-14,8,229,4.2,4,0.2,59,CO2018
Reading,Fall,264,12-13,8,228.1,13-14,9,230.1,2.1,3.5,-1.4,51,CO2017
Reading,Fall,285,12-13,9,231.4,13-14,10,232.1,0.7,2.4,-1.7,48,CO2016
Reading,Fall,17,12-13,10,212.6,13-14,11,207.5,-5.2,0.8,-6,35,CO2015
Reading,Fall,15,12-13,11,211.7,13-14,12,212.3,0.7,NA,NA,NA,CO2014
Math,Fall,258,11-12,3,197.8,12-13,4,211.9,14,11.9,2.1,67,CO2021
Math,Fall,280,11-12,4,209.6,12-13,5,221.9,12.3,10.6,1.7,59,CO2020
Math,Fall,288,11-12,5,222.3,12-13,6,230.3,7.7,7,0.7,58,CO2019
Math,Fall,305,11-12,6,229.5,12-13,7,236.6,7.1,7.5,-0.4,53,CO2018
Math,Fall,283,11-12,7,235.9,12-13,8,238.9,3,6.3,-3.3,33,CO2017
Math,Fall,264,11-12,8,239.3,12-13,9,242.6,3.3,4.9,-1.6,45,CO2016
Math,Fall,196,11-12,9,238.1,12-13,10,240,1.9,2.7,-0.8,53,CO2015
Math,Fall,40,11-12,10,233.7,12-13,11,231.9,-1.7,2.1,-3.8,33,CO2014
Math,Fall,11,11-12,11,218.9,12-13,12,225,6.1,NA,NA,NA,CO2013
Reading,Fall,250,11-12,3,196,12-13,4,207.5,11.5,10,1.5,62,CO2021
Reading,Fall,281,11-12,4,205.4,12-13,5,213,7.6,7.5,0.1,54,CO2020
Reading,Fall,290,11-12,5,213.1,12-13,6,219.3,6.2,5.3,0.9,60,CO2019
Reading,Fall,305,11-12,6,218.6,12-13,7,224,5.5,4.7,0.8,62,CO2018
Reading,Fall,283,11-12,7,222.7,12-13,8,227.8,5.2,4,1.2,61,CO2017
Reading,Fall,275,11-12,8,227.4,12-13,9,231.2,3.9,3.5,0.4,59,CO2016
Reading,Fall,290,11-12,9,230.6,12-13,10,233.4,2.8,2.3,0.5,63,CO2015
Reading,Fall,18,11-12,10,219.4,12-13,11,215.3,-4.1,0.9,-5,39,CO2014
Reading,Fall,6,11-12,11,NA,12-13,12,NA,NA,NA,NA,NA,CO2013
Math,Fall,261,10-11,3,198.7,11-12,4,209.5,10.8,11.9,-1.1,57,CO2020
Math,Fall,275,10-11,4,212.5,11-12,5,223.1,10.6,10.9,-0.3,56,CO2019
Math,Fall,291,10-11,5,221.8,11-12,6,230,8.2,6.9,1.3,62,CO2018
Math,Fall,257,10-11,6,228.7,11-12,7,236.4,7.7,7.5,0.2,58,CO2017
Math,Fall,276,10-11,7,235.6,11-12,8,239.9,4.3,6.3,-2,43,CO2016
Math,Fall,278,10-11,8,238.8,11-12,9,243.4,4.6,4.9,-0.3,53,CO2015
Math,Fall,166,10-11,9,238.6,11-12,10,240.6,1.9,2.7,-0.8,53,CO2014
Math,Fall,89,10-11,10,234.1,11-12,11,237,2.9,2.1,0.8,62,CO2013
Math,Fall,42,10-11,11,227.8,11-12,12,229.6,1.9,NA,NA,NA,CO2012
Reading,Fall,262,10-11,3,196.7,11-12,4,204.8,8.1,10,-1.9,50,CO2020
Reading,Fall,277,10-11,4,206.3,11-12,5,213,6.7,7.5,-0.8,51,CO2019
Reading,Fall,291,10-11,5,212.6,11-12,6,218.5,6,5.3,0.7,59,CO2018
Reading,Fall,258,10-11,6,217.6,11-12,7,222.3,4.6,4.7,-0.1,57,CO2017
Reading,Fall,278,10-11,7,223.4,11-12,8,227.2,3.8,4,-0.2,57,CO2016
Reading,Fall,282,10-11,8,226.4,11-12,9,230.5,4,3.4,0.6,59,CO2015
Reading,Fall,273,10-11,9,231,11-12,10,233.8,2,2.3,-0.3,57,CO2014
Reading,Fall,8,10-11,10,NA,11-12,11,NA,NA,,NA,NA,CO2013
Reading,Fall,27,10-11,11,215.2,11-12,12,218.1,2.9,NA,NA,NA,CO2012
